Algorithm,Instance,MetricName,ExecutionId,MetricValue
NSGAII,ZCAT8,EP,20,0.015657832326350207
NSGAII,ZCAT8,EP,21,0.013882509515796282
NSGAII,ZCAT8,EP,22,0.010417929414671567
NSGAII,ZCAT8,EP,23,0.01706882177350566
NSGAII,ZCAT8,EP,24,0.013307610123177271
NSGAII,ZCAT8,EP,25,0.01728186826046252
NSGAII,ZCAT8,EP,26,0.01283393645014863
NSGAII,ZCAT8,EP,27,0.015032179205329732
NSGAII,ZCAT8,EP,28,0.012663289228237118
NSGAII,ZCAT8,EP,29,0.01932655853562948
NSGAII,ZCAT9,EP,0,0.013326511206317448
NSGAII,ZCAT9,EP,1,0.011045228756473402
NSGAII,ZCAT9,EP,2,0.01652145031653096
NSGAII,ZCAT9,EP,3,0.011630642446828432
NSGAII,ZCAT9,EP,4,0.012209471069076328
NSGAII,ZCAT9,EP,5,0.011786757610961152
NSGAII,ZCAT9,EP,6,0.01205581254794863
NSGAII,ZCAT9,EP,7,0.011742520411658686
NSGAII,ZCAT9,EP,8,0.012779702410807503
NSGAII,ZCAT9,EP,9,0.01212292538343096
NSGAII,ZCAT9,EP,10,0.012829950807199952
NSGAII,ZCAT9,EP,11,0.013766185333065284
NSGAII,ZCAT9,EP,12,0.018247043755945436
NSGAII,ZCAT9,EP,13,0.013112165502496626
NSGAII,ZCAT9,EP,14,0.012125936519751135
NSGAII,ZCAT9,EP,15,0.01389574280725503
NSGAII,ZCAT9,EP,16,0.012441378027049588
NSGAII,ZCAT9,EP,17,0.012513494951172044
NSGAII,ZCAT9,EP,18,0.014694785153257284
NSGAII,ZCAT9,EP,19,0.010415026400499405
NSGAII,ZCAT9,EP,20,0.014901526933102094
NSGAII,ZCAT9,EP,21,0.012842496016963412
NSGAII,ZCAT9,EP,22,0.011721742590706241
NSGAII,ZCAT9,EP,23,0.017402810171384675
NSGAII,ZCAT9,EP,24,0.013119654758701582
NSGAII,ZCAT9,EP,25,0.012196789120573315
NSGAII,ZCAT9,EP,26,0.012266562960331462
